ISIN,WKN,Bezeichnung,Anlagegruppe,Anlageuniversum
DE000LS9ALA2,LS9ALA,MidTermAlpha,"sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ALF1,LS9ALF,"DAX-WERTE,  TECHNOLOGY AND TRENDS","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ALH7,LS9ALH,"Event Driven Investing I","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ALJ3,LS9ALJ,VALUE-1,"sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ALL9,LS9ALL,Gutmenschentitel,"sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ALM7,LS9ALM,"LionFairy - Alpha Opportunities","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ALN5,LS9ALN,"Dein Freund","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ALR6,LS9ALR,"THE BEST INVEST","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ALS4,LS9ALS,"Superporcus MOMENTUM-Player","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ALV8,LS9ALV,bop-trade,"sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ALX4,LS9ALX,"Superporcus 4 mal ALL-IN","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ALY2,LS9ALY,"kleinst aber feinst","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AMA0,LS9AMA,"Master Portfolio 2","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AMC6,LS9AMC,"Minimal ETF-Werte","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AMD4,LS9AMD,Worldgrowth,"sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AMF9,LS9AMF,"Profit nach Markttechnik","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AMK9,LS9AMK,"Smart Money (VSA)","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AML7,LS9AML,"FS Strategie","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AMN3,LS9AMN,"Long Term Value Strategy","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AMQ6,LS9AMQ,"trades around the world","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AMS2,LS9AMS,"jaw High Yield (Renten-/Bonds-Werte)","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AMT0,LS9AMT,"Global Value Long Term","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AMU8,LS9AMU,"Diversified Momentum","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AMX2,LS9AMX,GRAHAM-1,"sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ANB6,LS9ANB,"World CBI","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ANF7,LS9ANF,"Langfristig ausgerichtete Strategie ","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ANH3,LS9ANH,AbsoluteReturn,"sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ANK7,LS9ANK,"Star Value","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ANN1,LS9ANN,Selectplus,"sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ANP6,LS9ANP,"LIKE BUFFET - DIVIDENDE - KRISENSTARK","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ANR2,LS9ANR,"Power Trader One","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
