ISIN,WKN,Bezeichnung,Anlagegruppe,Anlageuniversum
DE000A0D8Q31,A0D8Q3,"ISH. EB.R.GOV.GER.10.5+",ETFs,"ETFs Europa Bonds"
DE000A0D8Q49,A0D8Q4,"IS.DJ U.S.SELEC.DIV.U.ETF",ETFs,"ETFs Nordamerika"
DE000A0D8QZ7,A0D8QZ,"DJ STOXX 200 SML",ETFs,"ETFs Europa Gesamt"
DE000A0F5UE8,A0F5UE,"ETF DJ CHINA OFF",ETFs,"ETFs Asien"
DE000A0F5UF5,A0F5UF,"ISHARES NASDAQ-100 U.ETF",ETFs,"ETFs Nordamerika"
DE000A0F5UG3,A0F5UG,"IS.DJ EUROZ.SUST.SC.U.ETF",ETFs,"ETFs Europa Gesamt"
DE000A0F5UH1,A0F5UH,"ISHARES DJ STOXX GLOBAL SELECT DIVIDEND 100 (DE)",ETFs,"ETFs Welt"
DE000A0F5UJ7,A0F5UJ,"ISHRS STX600 BANKS",ETFs,"ETFs Branchen"
DE000A0F5UK5,A0F5UK,"IS.S.E.600 BA.RE.U.ETF A.",ETFs,"ETFs Basic Resources"
DE000A0H0728,A0H072,"ISHS DIV.COMM.SWAP UC.ETF",ETFs,"ETFs Basic Resources"
DE000A0H0744,A0H074,"IS.DJ AS.PAC.S.D.30 U.ETF",ETFs,"ETFs Asien"
DE000A0H0785,A0H078,"I.MA.IB.EO L.S.C.1.5-10.5",ETFs,"ETFs Europa Bonds"
DE000A0H08D2,A0H08D,"ISHARES NIK225",ETFs,"ETFs Asien"
DE000A0H08E0,A0H08E,"ISHRS STX600 CHEMICALS",ETFs,"ETFs Branchen"
DE000A0H08F7,A0H08F,"ISHRS STX600 CONSTRUCTION & MATERIALS",ETFs,"ETFs Branchen"
DE000A0H08G5,A0H08G,"ISHRS STX600 FINANCIAL SERVICES",ETFs,"ETFs Branchen"
DE000A0H08H3,A0H08H,"ISHRS STX600 FOOD & BEVERAGE",ETFs,"ETFs Branchen"
DE000A0H08J9,A0H08J,"ISHRS STX600 INDUSTRIAL GOODS & SERVICES",ETFs,"ETFs Branchen"
DE000A0H08K7,A0H08K,"ISHRS STX600 INSURANCE",ETFs,"ETFs Branchen"
DE000A0H08L5,A0H08L,"ISHRS STX600 MEDIA",ETFs,"ETFs Branchen"
DE000A0H08M3,A0H08M,"IS.S.E.600 OIL+G.U.ETF A.",ETFs,"ETFs Basic Resources"
DE000A0H08N1,A0H08N,"ISHRS STX600 PERSONAL & HOUSEHOLD GOODS",ETFs,"ETFs Branchen"
