ISIN,WKN,Bezeichnung,Anlagegruppe,Anlageuniversum
US4474621020,A0DKTV,"HURON CONSULTING   DL-, 01","Aktien USA","Aktien USA Select"
US44842L1035,A2AF74,"HUTCHMED (CHINA)   LS-, 10","Aktien USA","Aktien USA Select"
US44852D1081,A2JL12,"HUYA INC. SP.ADR/1 CL.A","Aktien International","Aktien International"
US4485791028,A0YAKV,"HYATT HOTELS CORP.","Aktien USA","Aktien USA Select"
US44888K2096,A2QKU3,"HYDROFARM HLD. GRP -, 0001","Aktien USA","Aktien USA Select"
US44891N2080,A3CQZU,"IAC INTERACTIVEC.DL-, 0001","Aktien USA","Aktien USA Select"
US4489475073,A0RF6V,"IDT CORP. B NEW    DL-, 01","Aktien USA","Aktien USA Select"
US44916T1079,A2JPMW,"HYRECAR INC.    DL-, 00001","Aktien USA","Aktien USA Select"
US4491721050,A1J4R3,"HYSTER-YALE MAT.H.A DL-01","Aktien USA","Aktien USA Select"
US4492531037,A2PL3U,"IAA INC.           DL-, 01","Aktien USA","Aktien USA Select"
US44925C1036,A0LBNM,"ICF INTL INC.     DL -, 01","Aktien USA","Aktien USA Select"
US44930G1076,894139,"ICU MEDICAL INC.   DL-, 10","Aktien USA","Aktien USA Select"
US44951W1062,A2AKNG,"IES HLDGS INC.     DL-, 01","Aktien USA","Aktien USA Select"
US4495851085,A2PPQK,"IGM BIOSCIENCES   DL-, 01","Aktien USA","Aktien USA Select"
US44975P1030,A2PVC6,"I-MAB  SPONS.ADS/1 -, 0001","Aktien International","Aktien International"
US44980X1090,602224,"IPG PHOTONICS    DL-, 0001","Aktien USA","Aktien USA Select"
US4500472042,907725,"IRSA INV. Y REPR. ADR 10","Aktien USA","Aktien USA Select"
US4500561067,A2ATTS,"IRHYTHM TECHN.INC.DL-, 001","Aktien USA","Aktien USA Select"
US45031U1016,929187,"ISTAR INC. A     DL -, 001","Aktien USA","Aktien USA Select"
US45033E1055,A2AGGF,"ITAU CORPB.ADR REG.S/1500","Aktien USA","Aktien USA Select"
US45073V1089,A2AJTS,ITT,"Aktien USA","Aktien USA Select"
US45104G1040,936793,"ICICI BANK LTD ADR/2","Aktien USA","Aktien USA Select"
US4511071064,916694,"IDACORP INC.","Aktien USA","Aktien USA Select"
US45113Y2037,A3DWMU,"ICLICK INT.ASIA ADR/5 A","Aktien USA","Aktien USA Select"
US4516222035,A2PLWN,"IDEAL POWER INC.  DL-, 001","Aktien USA","Aktien USA Select"
US45166A1025,A2PJPB,"IDEAYA BIOSCIENCE  DL-, 01","Aktien USA","Aktien USA Select"
US45166V1061,A2N9D0,"IDEANOMICS INC.   DL-, 001","Aktien International","Aktien International"
US45167R1041,877444,"IDEX CORP.         DL-, 01","Aktien USA","Aktien USA Select"
US45168D1046,888210,"IDEXX LABS INC.    DL-, 10","Aktien USA","Aktien USA Select"
US45170X2053,A11404,"IDENTIV INC.      DL-, 001","Aktien USA","Aktien USA Select"
US4523081093,861219,"ILLINOIS TOOLWORKS","Aktien USA","Aktien USA Select"
US4523271090,927079,"ILLUMINA INC.      DL-, 01","Aktien USA","Aktien NASDAQ 100 Select"
US4524652066,A2PW07,"IMEDIA BRANDS A    DL-, 01","Aktien USA","Aktien USA Select"
US4525211078,929096,"IMMERSION CORP.","Aktien USA","Aktien USA Select"
US45253H1014,878613,"IMMUNOGEN INC.     DL-, 01","Aktien USA","Aktien USA Select"
US45254U1016,A2DTD8,"IMMURON LTD SPON.ADR 40","Aktien USA","Aktien USA Select"
US4525533083,164676,"IMPALA PLAT.ADR/1 RC-, 025","Aktien International","Aktien International"
US45256X1037,A2QQ2E,"IMMUNITYBIO INC. DL-, 0001","Aktien USA","Aktien USA Select"
US45257L1089,A2H8YL,"IMMUTEP LTD ADRS II/10","Aktien USA","Aktien USA Select"
US45258K1097,A3CNH9,"IMPEL PHARMACEUT. DL-, 001","Aktien USA","Aktien USA Select"
US4525EP1011,A2PHD4,"IMMUNIC INC.     DL-, 0001","Aktien USA","Aktien USA Select"
US45262P1021,A2AEDW,"IMPERIAL BRANDS PLC ADR/1","Aktien Europa","Aktien Europa Select"
US4532041096,A2ANZB,"IMPINJ INC.       DL-, 001","Aktien USA","Aktien USA Select"
US45337C1027,896133,"INCYTE            DL-, 001","Aktien USA","Aktien USA Select"
US45378A1060,A1W64V,"INDEPENDENCE RLTY TR.","Aktien USA","Aktien USA Select"
US45384B1061,A1T8G1,"INDEPENDENT BK GR.DL -, 01","Aktien USA","Aktien USA Select"
US45408X3089,A1T87A,"INDIA GLOBAL.CAP. DL -, 01","Aktien International","Aktien International"
US45569U1016,A3CSBE,"INDIE SEMICON. A DL-, 0001","Aktien USA","Aktien USA Select"
US45580R1032,A2QLR1,"INDUS REALTY TRUST DL-, 01","Aktien USA","Aktien USA Select"
US4562371066,A2JBRN,"IND.LOG.PROP.TR. DL -, 01","Aktien USA","Aktien USA Select"
US4564631087,918399,"INDS BACHOCO SAB ADR/12","Aktien USA","Aktien USA Select"
US45662N1037,936207,"INFINEON TECHNOLOGIES ADR","Aktien USA","Aktien USA Select"
US45665G3039,A0LA4Y,"INFINITY PHARMAC. DL-, 001","Aktien USA","Aktien USA Select"
US45667G1031,A0MSSK,"INFINERA CORP.   DL -, 001","Aktien USA","Aktien USA Select"
US45674E1091,A2QF49,"IN8BIO INC.      DL-, 0001","Aktien USA","Aktien USA Select"
US45675Y1047,A0MJ2D,"INFO.SVCS GRP.INC.DL-, 001","Aktien USA","Aktien USA Select"
US4567881085,919668,"INFOSYS LTD. ADR/1 IR5","Aktien USA","Aktien Dow Jones"
US4568371037,907466,"ING GP NV SP.ADR/1 EO-, 24","Aktien USA","Aktien USA Select"
US45685K1025,A0NA9V,"INFUSYSTEMS HLDG.DL-, 0001","Aktien International","Aktien International"
