ISIN,WKN,Bezeichnung,Anlagegruppe,Anlageuniversum
LU0290359032,DBX0AR,"DBX TRKS ITRAXX CROSSOVER 5-YEAR TR INDEX ETF",ETFs,"ETFs Europa Bonds"
LU0292095535,DBX1D3,"DB X-TR DJESDV30",ETFs,"ETFs Europa Gesamt"
LU0292096186,DBX1DG,"DB X-TR DJS GLOB",ETFs,"ETFs Europa Gesamt"
LU0292097234,DBX1F1,"DB X-TRACKERS FTSE 100",ETFs,"ETFs Länder Europa"
LU0292097317,DBX1F2,"DB X-TR.FTSE 250 ETF 1D",ETFs,"ETFs Länder Europa"
LU0292097747,DBX1FA,"DB X-TR.FTSE ALL-SH.ETF1D",ETFs,"ETFs Länder Europa"
LU0292100046,DBX1K2,"DB X-TRACKERS MSCI KOREA TRN INDEX ETF",ETFs,"ETFs Asien"
LU0292100806,DBX1SB,"XTR.ST.EU.600 BA.RE.SW.1C",ETFs,"ETFs Basic Resources"
LU0292101796,DBX1SG,"XTR.ST.EU.600 O.+G.S. 1C",ETFs,"ETFs Basic Resources"
LU0292103222,DBX1SH,"DB X-TRACK. STOXX 600 HEALTH CARE",ETFs,"ETFs Branchen"
LU0292103651,DBX1SF,"DB X-TRACK. STOXX 600 BANKS",ETFs,"ETFs Branchen"
LU0292104030,DBX1ST,"DB X-TRACK. STOXX 600 TELECOMMUN.",ETFs,"ETFs Branchen"
LU0292104469,DBX1TE,"DB X-TRACK. STOXX 600 TECHNO.",ETFs,"ETFs Branchen"
LU0292104899,DBX1SU,"DB X-TRACK. STOXX 600 UTILITIES",ETFs,"ETFs Branchen"
LU0292105359,DBX1FB,"DB X-TRACK. STOXX 600 FOOD & BEVERAGE",ETFs,"ETFs Branchen"
LU0292106084,DBX1F0,"DB X-TRACK. STOXX 600 INDUSTRIAL GOODS",ETFs,"ETFs Branchen"
LU0292106167,DBX1LC,"XTR.DBLCI CO.O.Y.SW.1CEOH",ETFs,"ETFs Basic Resources"
LU0292106241,DBX1DS,"DB X-TR SHORTDAX",ETFs,"ETFs DAX"
LU0292106753,DBX1SS,"DB X-TR DJES50SH",ETFs,"ETFs EuroStoxx"
LU0292107645,DBX1EM,"DB MSCI EM.MAR.",ETFs,"ETFs Emerging Markets"
LU0292107991,DBX1MA,"DB X-TR.MSCIE.A.T.I.ETF1C",ETFs,"ETFs Emerging Markets"
LU0292108619,DBX1ML,"DB X-TRACKERS MSCI EM LATAM TRN INDEX ETF",ETFs,"ETFs Latein- & Südamerika"
LU0292109005,DBX1EA,"DB X-TRCKS MSCI EM EMEA TRN INDEX TECHNO.",ETFs,"ETFs Emerging Markets"
LU0292109187,DBX1MT,"DB X-TRACKERS MSCI TAIWAN TRN INDEX ETF",ETFs,"ETFs Asien"
LU0292109344,DBX1MR,"DB X-TRACKERS MSCI BRAZIL TRN INDEX ETF",ETFs,"ETFs Latein- & Südamerika"
LU0292109690,DBX1NN,"DB X-TR S&P NIFT",ETFs,"ETFs Asien"
LU0292109856,DBX1FX,"DB X-TR FTSE XIN",ETFs,"ETFs Asien"
LU0321462870,DBX0AU,"DB X-TR.II-ITR.SHORT CR.5YR.1C",ETFs,"ETFs Europa Bonds"
LU0321462953,DBX0AV,"XTR.II USD EM BD 1CEOH",ETFs,"ETFs Europa Bonds"
LU0321463258,DBX0AW,"DBX TRKS SHORT IBOXX SOVGS EUROZNE TR INDEX ETF",ETFs,"ETFs Europa Bonds"
LU0321463506,DBX0AX,"DBX TRKS IBOXX GERM. COVERED TR",ETFs,"ETFs Europa Bonds"
LU0321464652,DBX0A1,"DB X-TRACK SONIA TOTAL RETURN",ETFs,"ETFs Sonstige Bonds"
LU0321465469,DBX0A0,"DB X-TR.II-FED E.R.T.R.1C",ETFs,"ETFs Sonstige Bonds"
LU0322248146,DBX1AA,"DBX X-TRACKERS SLI ETF 1D",ETFs,"ETFs Länder Europa"
LU0322250712,DBX1AN,"DB X-TRACK LPX MM PRIVATE EQUITY",ETFs,"Other ETFs"
LU0322250985,DBX1AR,"DB X-TRACKERS CAC 40",ETFs,"ETFs Länder Europa"
LU0322251520,DBX1AC,"XTR.S+P 500 IN.DA.SW. 1C",ETFs,"ETFs Nordamerika"
LU0322252171,DBX1AE,"DB X-TRACKERS MSCI AC ASIA EX JAPAN TRN INDEX ETF",ETFs,"ETFs Asien"
LU0322252338,DBX1AF,"DB X-TRACKERS MSCI PACIFIC EX JAPAN TRN INDEX ETF",ETFs,"ETFs Asien"
LU0322252502,DBX1RC,"DB X-TRACKERS MSCI RUSSIA CAPPED",ETFs,"ETFs Länder Sonstige"
LU0322252924,DBX1AG,"DB X-TRACKERS FTSE VIETNAM ETF",ETFs,"ETFs Asien"
LU0322253229,DBX1AP,"DB X-TRACK. S&P GLOBAL INFRASTR.",ETFs,"ETFs Branchen"
LU0322253732,DBX1AT,"DB X-TRACKERS MSCI EUROPE MID CAP TRN INDEX ETF",ETFs,"ETFs Europa Gesamt"
LU0322253906,DBX1AU,"DB X-TRACKERS MSCI EUROPE SMALL CAP TRN INDEX ETF",ETFs,"ETFs Europa Gesamt"
LU0328473581,DBX1AV,"DB X-TRACKERS FTSE 100 SHORT",ETFs,"ETFs Länder Europa"
LU0328474803,DBX1A2,"DB X TRACKER ASX 200",ETFs,"ETFs Asien"
LU0328475792,DBX1A7,"DB X-TRACKERS STOXX 600 ETF",ETFs,"ETFs Europa Gesamt"
LU0328476410,DBX1A9,"DB X-TR.S+P SEL.FRONT. 1C",ETFs,"ETFs Länder Sonstige"
LU0335044896,DBX0A2,"DBX TRKS EONIA TRI ETF 1D",ETFs,"ETFs Europa Bonds"
LU0340285161,A0NCFR,"UBS MSCI WORLD",ETFs,"ETFs Welt"
LU0356591882,DBX0A4,"XTR.USD OVER.RATE.SW. 1C",ETFs,"ETFs Sonstige Bonds"
LU0378434236,ETF051,"LYX EURO ST DIV 30 ETF I",ETFs,"ETFs Europa Gesamt"
LU0378434582,ETF060,"LYX STOXX EU 600 ETF I",ETFs,"ETFs Europa Gesamt"
LU0378437502,ETF010,"COMSTAGE ETF DOW JONES INDUSTRIAL AVERAGE",ETFs,"ETFs Nordamerika"
LU0378438732,ETF001,"LYXOR CORE DAX U. ETF I",ETFs,"ETFs DAX"
LU0378453376,ETF020,"LYXOR NIKKEI 225 ETF I",ETFs,"ETFs Asien"
LU0378818131,DBX0A8,"DB X-TRACK II GLOBAL SOVEREIGN",ETFs,"ETFs Sonstige Bonds"
LU0380865021,DBX1ET,"DB X-TRACKERS EURO STOXX ETF 1C",ETFs,"ETFs EuroStoxx"
LU0392494562,ETF110,"LYXOR MSCI WORLD ETF I",ETFs,"ETFs Welt"
LU0392494646,ETF111,"COMSTAGE ETF MSCI EUROPE TRN",ETFs,"ETFs Europa Gesamt"
LU0392494992,ETF113,"LYXOR NORTH AMERICA ETF I",ETFs,"ETFs Nordamerika"
LU0392495023,ETF114,"COMSTAGE ETF MSCI PACIFIC TRN",ETFs,"ETFs Asien"
LU0392495700,ETF120,"LYXOR MSCI USA ETF I",ETFs,"ETFs Nordamerika"
LU0392495965,ETF122,"LYXOR S+P MIDCAP ETF I",ETFs,"ETFs Nordamerika"
LU0392496005,ETF123,"LYXOR S+P SMALLCAP ETF I",ETFs,"ETFs Nordamerika"
LU0392496260,ETF125,"COMSTAGE ETF MSCI EUROPE MID CAP TRN",ETFs,"ETFs Europa Gesamt"
LU0392496344,ETF126,"LYX EUROPE SMALLCAP ETF I",ETFs,"ETFs Europa Gesamt"
LU0392496427,ETF030,"LYXOR DJ SWISS TIT ETF I",ETFs,"ETFs Länder Europa"
LU0397221945,DBX0BT,"DB X TR INDEX AKTIEN&RENTEN",ETFs,"Other ETFs"
